pbcIndex;aseIndex;x;y;d;energy;prePES;bondLengthRatio;energy. after 3 steps;energy. after 6 steps;energy_cpu;prePES_cpu;nsw3_cpu;nsw6_cpu;;;;;;;;;;;;;;;;;;blr;nsw6;-825,0156448;;energy;-826,7627867;;diffPES;diffPES;-828,5366362;prePESfltrd
61;61;0.7625;0.0;0.4;-813.75974099;-795.01564481;26.846538429988691;-805.01172385;-813.01564481;19567;149;1337;1938;;;;;;;;;;;;;;;;;;26.846538429988691;-810.45117474;-810,4511747;-813,0156448;-813.75974099;-813,759741;-816,7627867;-3,7471419;-5.74714189999997;-782,9529419;-795,0156448
62;62;0.775;0.0;0.4;-813.90145573;-795.01564481;26.642614284288886;-803.33308780;-813.01564481;20385;148;908;1467;;;;;;;;;;;;;;;;;;26.642614284288886;-807.29381242;-807,2938124;-813,0156448;-813.90145573;-813,9014557;-816,7627867;-3,7471419;-5.74714189999997;-789,1117004;-795,0156448
63;63;0.7875;0.0;0.4;-814.04472175;-795.01564481;26.529763346024243;-807.47780843;-813.01564481;28588;184;867;1418;;;;;;;;;;;;;;;;;;26.529763346024243;-811.38736656;-811,3873666;-813,0156448;-814.04472175;-814,0447218;-816,7627867;-3,7471419;-5.74714189999997;-794,4840858;-795,0156448
64;64;0.8;0.0;0.4;-814.17847260;-799.20321675;26.448038160695091;-808.82423130;-813.01564481;18533;147;841;1346;;;;;;;;;;;;;;;;;;26.448038160695091;-811.87551728;-811,8755173;-813,0156448;-814.17847260;-814,1784726;-816,7627867;-3,7471419;-5.74714189999997;-799,2032168;-799,2032168
65;65;0.8125;0.0;0.4;-817.38572274;-803.10232015;26.278677288772503;-809.66701357;-813.01564481;40844;262;879;1453;;;;;;;;;;;;;;;;;;26.278677288772503;-812.45748229;-812,4574823;-813,0156448;-817.38572274;-817,3857227;-817,3857227;-4,37007793;-5.74714189999997;-803,1023202;-803,1023202
66;66;0.825;0.0;0.4;-818.12987593;-806.72511247;25.957993513781997;-810.73296193;-813.21146698;32514;233;934;1532;;;;;;;;;;;;;;;;;;25.957993513781997;-813.21146698;-813,211467;-813,211467;-818.12987593;-818,1298759;-818,1298759;-4,91840895;-5.55131973000005;-806,7251125;-806,7251125
67;67;0.8375;0.0;0.4;-818.94249873;-809.85824354;25.555616360248013;-812.09630765;-814.43652403;21184;430;884;1498;;;;;;;;;;;;;;;;;;25.555616360248013;-814.43652403;-814,436524;-814,436524;-818.94249873;-818,9424987;-818,9424987;-4,5059747;-4.50597470000002;-809,8582435;-809,8582435
68;68;0.85;0.0;0.4;-819.70469757;-812.61256296;25.098721758987097;-813.62195318;-817.33645549;29196;325;884;1614;;;;;;;;;;;;;;;;;;25.098721758987097;-817.33645549;-817,3364555;-817,3364555;-819.70469757;-819,7046976;-819,7046976;-2,36824208;-2.36824207999996;-812,612563;-812,612563
69;69;0.8625;0.0;0.4;-820.39605221;-814.81498601;24.619757360155031;-815.11818196;-817.54215199;21135;244;953;1604;;;;;;;;;;;;;;;;;;24.619757360155031;-817.54215199;-817,542152;-817,542152;-820.39605221;-820,3960522;-820,3960522;-2,85390022;-2.85390022000001;-814,814986;-814,814986
70;70;0.875;0.0;0.4;-821.05642822;-816.71024892;24.303541114093978;-816.41074636;-818.99255512;16766;267;879;1538;;;;;;;;;;;;;;;;;;24.303541114093978;-818.99255512;-818,9925551;-818,9925551;-821.05642822;-821,0564282;-821,0564282;-2,0638731;-2.06387310000002;-816,7102489;-816,7102489
71;71;0.8875;0.0;0.4;-821.67891758;-818.11995501;24.032665968529262;-817.39246266;-820.00287191;14355;185;884;1530;;;;;;;;;;;;;;;;;;24.032665968529262;-820.00287191;-820,0028719;-820,0028719;-821.67891758;-821,6789176;-821,6789176;-1,67604567;-1.67604567000001;-818,119955;-818,119955
72;72;0.9;0.0;0.4;-822.23492847;-819.35223852;23.760887654125181;-817.78069520;-820.57399672;14858;178;864;1483;;;;;;;;;;;;;;;;;;23.760887654125181;-820.57399672;-820,5739967;-820,5739967;-822.23492847;-822,2349285;-822,2349285;-1,66093175;-1.66093175000003;-819,3522385;-819,3522385
73;73;0.9125;0.0;0.4;-822.77057729;-820.26707115;23.25885595481282;-817.08081800;-821.16873462;14990;287;704;1253;;;;;;;;;;;;;;;;;;23.25885595481282;-821.16873462;-821,1687346;-821,1687346;-822.77057729;-822,7705773;-822,7705773;-1,60184267;-1.60184267;-820,2670712;-820,2670712
74;74;0.925;0.0;0.4;-823.27615563;-821.16586448;22.677973483488657;-819.94896587;-822.42218136;26358;201;854;1484;;;;;;;;;;;;;;;;;;22.677973483488657;-822.42218136;-822,4221814;-822,4221814;-823.27615563;-823,2761556;-823,2761556;-0,85397427;-0.853974269999981;-821,1658645;-821,1658645
75;75;0.9375;0.0;0.4;-823.77394171;-821.87690857;22.104843424087967;-820.58652014;-822.24172001;13299;201;758;1288;;;;;;;;;;;;;;;;;;22.104843424087967;-822.24172001;-822,24172;-822,24172;-823.77394171;-823,7739417;-823,7739417;-1,5322217;-1.53222170000004;-821,8769086;-821,8769086
76;76;0.95;0.0;0.4;-824.27579619;-822.66601514;21.557579283447993;-821.12817471;-822.69699986;14947;197;674;1130;;;;;;;;;;;;;;;;;;21.557579283447993;-822.69699986;-822,6969999;-822,6969999;-824.27579619;-824,2757962;-824,2757962;-1,57879633;-1.57879633000005;-822,6660151;-822,6660151
77;77;0.9625;0.0;0.4;-824.79549512;-823.34708017;21.047166393074981;-821.62443510;-823.1237541;16183;157;655;1111;;;;;;;;;;;;;;;;;;21.047166393074981;-823.12375410;-823,1237541;-823,1237541;-824.79549512;-824,7954951;-824,7954951;-1,67174102;-1.67174102000001;-823,3470802;-823,3470802
78;78;0.975;0.0;0.4;-825.31028468;-824.16608208;20.57383742097899;-822.11995940;-823.61196934;14584;156;614;1073;;;;;;;;;;;;;;;;;;20.57383742097899;-823.61196934;-823,6119693;-823,6119693;-825.31028468;-825,3102847;-825,3102847;-1,69831534;-1.69831534000002;-824,1660821;-824,1660821
79;79;0.9875;0.0;0.4;-825.80580944;-824.90518473;20.348291468107583;-822.54287400;-824.05738467;14825;153;711;1272;;;;;;;;;;;;;;;;;;20.348291468107583;-824.05738467;-824,0573847;-824,0573847;-825.80580944;-825,8058094;-825,8058094;-1,74842477;-1.74842476999993;-824,9051847;-824,9051847
