pbcIndex;aseIndex;x;y;d;energy;prePES;BLR;nsw3;nsw6;energy_cpu;prePES_cpu;nsw3_cpu;nsw6_cpu
80;80;0.5;0.666666666667;0.25; -492.60509666;-489.71022726;10.157982430108738;-489.13988346;-492.2096306;11509;85;1501;2708
81;81;0.5;0.75;0.25; -492.65222648;-489.01349428;12.117330933797499;-488.44449407;-492.11180976;6159;65;902;1591
82;82;0.5;0.833333333333;0.25; -492.60511999;-489.7103001;14.183639243972271;-489.13988808;-492.20964064;9501;80;1191;2149
83;83;0.5;0.916666666667;0.25; -492.02836620;-488.98178859;14.315761914461977;-490.20969348;-491.79918352;21673;81;1526;2860
84;84;0.583333333333;0.0;0.25; -490.30117667;-483.94466895;13.304938962944663;-486.39297074;-489.94681088;17812;88;1486;2697
85;85;0.583333333333;0.0833333333333;0.25; -488.66853625;-475.53754645;11.157576007240106;-483.48815015;-488.15024952;12357;92;1805;2936
86;86;0.583333333333;0.166666666667;0.25; -487.43556187;-470.75149605;11.157568270357091;-468.74924912;-485.28170602;10229;95;1705;3045
87;87;0.583333333333;0.25;0.25; -487.43556601;-470.75149605;12.459619681825274;-468.74903200;-485.28170602;11949;92;1989;3553
88;88;0.583333333333;0.333333333333;0.25; -488.66859353;-475.5358906;12.679118002822896;-483.48826376;-488.15025143;13106;96;1907;3125
89;89;0.583333333333;0.416666666667;0.25; -490.30113807;-483.94478904;10.778960132476811;-486.39323538;-489.94677861;14463;82;1392;2506
90;90;0.583333333333;0.5;0.25; -492.02855566;-488.98181383;12.093727038973883;-490.20969370;-491.79918317;23540;77;1388;2603
91;91;0.583333333333;0.583333333333;0.25; -493.29649670;-490.98534727;10.158027912502703;-492.36134637;-492.85556932;9422;57;995;1811
92;92;0.583333333333;0.666666666667;0.25; -493.62485137;-491.08240568;10.84226327785038;-492.70608149;-493.2059606;12840;74;1345;2449
93;93;0.583333333333;0.75;0.25; -493.62489446;-491.08244081;10.157915231360336;-492.70609059;-493.20596701;15175;74;1455;2647
94;94;0.583333333333;0.833333333333;0.25; -493.29650963;-490.98590563;12.093534899645601;-492.36134748;-492.85557027;9448;57;997;1814
95;95;0.583333333333;0.916666666667;0.25; -492.02636520;-488.98150077;12.67911737984981;-490.20972232;-491.79918482;15512;77;1505;2821
96;96;0.666666666667;0.0;0.25; -491.04699556;-486.90803916;12.459711626230254;-486.69024249;-490.58877773;15399;78;1269;2280
97;97;0.666666666667;0.0833333333333;0.25; -490.39824675;-485.77150764;11.52525799087678;-487.20940594;-490.0153262;16105;75;1479;2611
98;98;0.666666666667;0.166666666667;0.25; -490.04251578;-484.72322095;12.181254467720322;-486.99945698;-489.64661491;10562;58;946;1688
99;99;0.666666666667;0.25;0.25; -490.39809679;-485.77185902;11.525249282485305;-487.20940182;-490.01532684;12869;77;1472;2598
100;100;0.666666666667;0.333333333333;0.25; -491.04683046;-486.90853546;10.947775540803079;-486.69023766;-490.58877901;13145;78;1274;2286
101;101;0.666666666667;0.416666666667;0.25; -491.78044328;-487.74253733;10.77896013247682;-486.96336286;-491.24574656;9204;78;1306;2362
102;102;0.666666666667;0.5;0.25; -492.60509047;-489.7102206;10.643578979751524;-489.13987685;-492.20963268;10534;78;1496;2700
103;103;0.666666666667;0.583333333333;0.25; -493.62487435;-491.08238958;10.94329136321271;-492.70606693;-493.20595708;14022;77;1411;2567
104;104;0.666666666667;0.666666666667;0.25; -494.44330765;-491.17826299;10.157982430108744;-493.46179367;-494.08368;4106;41;536;981
105;105;0.666666666667;0.75;0.25; -493.62492461;-491.08223683;10.157915231360342;-492.70609132;-493.20596864;16058;74;1420;2583
106;106;0.666666666667;0.833333333333;0.25; -492.60517965;-489.70978539;10.943330631663718;-489.13989339;-492.20963129;14699;77;1500;2705
107;107;0.666666666667;0.916666666667;0.25; -491.78048611;-487.74203598;10.643505459178451;-486.96336986;-491.2459051;11196;78;1589;2875
108;108;0.75;0.0;0.25; -492.43388022;-490.41946262;10.778982522103833;-489.02673974;-491.89795276;18541;77;1662;3007
109;109;0.75;0.0833333333333;0.25; -492.79898272;-493.04136989;11.257878497390085;-490.96091526;-492.53369631;15069;69;1420;2507
110;110;0.75;0.166666666667;0.25; -492.79896610;-493.04143746;11.184381651190737;-490.96091286;-492.53401563;13464;74;1394;2478
111;111;0.75;0.25;0.25; -492.43373738;-490.41971972;10.778975743307557;-489.02673648;-491.89796073;18896;81;1660;3002
112;112;0.75;0.333333333333;0.25; -492.31605681;-485.63619387;11.184420173471191;-475.76805914;-487.59465566;24493;78;1897;3362
113;113;0.75;0.416666666667;0.25; -492.37963768;-485.10977949;11.257920472635034;-475.80769267;-486.96650616;20997;78;1709;3126
114;114;0.75;0.5;0.25; -492.65222221;-489.01348294;10.947775540803081;-488.44449721;-492.1118062;7532;55;1103;1945
115;115;0.75;0.583333333333;0.25; -493.62492603;-491.0824435;10.643536559453427;-492.70608124;-493.20596519;16331;75;1415;2575
116;116;0.75;0.666666666667;0.25; -493.62492613;-491.08225788;12.093581172710131;-492.70609230;-493.20596872;20617;76;1817;3289
117;117;0.75;0.75;0.25; -492.65223261;-489.01237619;12.117330933797502;-488.44450458;-492.11181251;9775;60;1449;2556
118;118;0.75;0.833333333333;0.25; -492.37915360;-485.10912436;12.093534899645602;-475.80773749;-486.96651335;16941;72;1715;3141
119;119;0.75;0.916666666667;0.25; -492.31578666;-485.63575731;10.643505459178449;-475.76803730;-487.59466661;25350;80;2403;4270
120;120;0.833333333333;0.0;0.25; -494.49976106;-495.41824947;10.947690259081092;-492.54363134;-494.04494254;12351;76;1472;2612
121;121;0.833333333333;0.0833333333333;0.25; -495.25933365;-497.60028037;10.376939137551512;-494.02226401;-495.08680622;6199;59;803;1474
122;122;0.833333333333;0.166666666667;0.25; -494.49975586;-495.41836335;12.459593452469967;-492.54362738;-494.04494041;18217;74;1997;3565
123;123;0.833333333333;0.25;0.25; -493.36278248;-488.3958717;11.728029363880422;-477.43002418;-490.11368362;16052;80;1669;2897
124;124;0.833333333333;0.333333333333;0.25; -492.72028551;-482.51325677;12.300899927774406;-461.56370651;-487.62828206;15756;62;1341;2428
125;125;0.833333333333;0.416666666667;0.25; -492.38203304;-485.10975039;11.72808779025118;-475.80770005;-486.96650932;27060;80;1930;3530
126;126;0.833333333333;0.5;0.25; -492.60511619;-489.71029546;10.376961618473239;-489.13989031;-492.20963922;10905;80;1367;2463
127;127;0.833333333333;0.583333333333;0.25; -493.29656591;-490.98580019;10.778975743307566;-492.36135013;-492.85557291;8890;59;930;1678
128;128;0.833333333333;0.666666666667;0.25; -492.60516698;-489.70981282;12.679100860663249;-489.13988978;-492.20963248;11798;80;1382;2493
129;129;0.833333333333;0.75;0.25; -492.37816053;-485.10911553;14.18368320128946;-475.80775691;-486.96651246;16975;80;1766;3228
130;130;0.833333333333;0.833333333333;0.25; -492.71947382;-482.51212668;14.183639243972273;-461.56317784;-487.62821172;13861;62;1345;2431
